crop,variety,state,quantity,production,season,cost,recommended_zone
Rice,Chinsurah Rice (Iet 19140),West Bengal,175.1,213.3,Medium,33046.12,"Andhra Pradesh, Tamil Nadu, Gujarat, Orissa, And West Bengal Under Irrigated Conditions."
Rice,Cr Dhan 401 (Reeta),West Bengal,175.1,213.3,145-150,33046.12,"Orissa, West Bengal, Tamil Nadu And Andhra Pradesh Under Irrigated Late Sown Conditions As Well As Shallow Rainfed Lowland."
Rice,Cr Dhan 601 (Iet 18558),West Bengal,175.1,213.3,160,33046.12,"Boro Area Of Orissa, West Bengal And Assam."
Rice,Chinsurah Rice (Iet 19140),Punjab,175.1,213.3,Medium,45291.24,"Andhra Pradesh, Tamil Nadu, Gujarat, Orissa, And West Bengal Under Irrigated Conditions."
Rice,Chinsurah Rice (Iet 19140),Andhra Pradesh,175.1,213.3,Medium,46450.2,"Andhra Pradesh, Tamil Nadu, Gujarat, Orissa, And West Bengal Under Irrigated Conditions."
Rice,Cr Dhan 401 (Reeta),Andhra Pradesh,175.1,213.3,145-150,46450.2,"Orissa, West Bengal, Tamil Nadu And Andhra Pradesh Under Irrigated Late Sown Conditions As Well As Shallow Rainfed Lowland."
Wheat,Mpo(Jw)  1215 (Mpo 1215),Madhya Pradesh,114.0,140.1,120,22489.75,"Madhya Pradesh, Chhattisgarh, Gujarat And Rajasthan (Kota And Udaipur Division Only) Under Timely Sown Irrigated Condition."
Wheat,Pdw 314,Punjab,114.0,140.1,169,35423.48,"Punjab, Haryana, Western Uttar Pradesh, Delhi, Rajasthan (Excluding Kota & Udaipur Divisions), Tarai Regions Of Uttarakhand, Paonta Valley & Una District Of Himachal Pradesh Under Timely Sown Irrigated Conditions."
Wheat,Whd 943,Punjab,114.0,140.1,Unknown,35423.48,"Punjab, Haryana, Delhi, Rajasthan (Except Kota And Udaipur Divisions), West Uttar Pradesh (Except Jhansi Divisions) Jammu And Kathua Districts Of Jammu And Kashmir, Paonta Valley And Una District Of Himachal Pradesh, And Tarai Region Of Uttarakhand."
Wheat,Pdw 314,Uttar Pradesh,114.0,140.1,169,31902.74,"Punjab, Haryana, Western Uttar Pradesh, Delhi, Rajasthan (Excluding Kota & Udaipur Divisions), Tarai Regions Of Uttarakhand, Paonta Valley & Una District Of Himachal Pradesh Under Timely Sown Irrigated Conditions."
Wheat,Dbw39,Uttar Pradesh,114.0,140.1,123,31902.74,"Eastern Uttar Pradesh, Bihar, Jharkhand, West Bengal, Assam And Orissa Under Timely Sown Irrigated Condition."
Wheat,Pusa Prachi (Hi 1563),Uttar Pradesh,114.0,140.1,Unknown,31902.74,"Eastern Uttar Pradesh, Bihar, Jharkhand, West Bengal (Except Hills), Orissa, Assam And The Place Of North Eastern States In Late Sown Condition."
Wheat,Whd 943,Uttar Pradesh,114.0,140.1,Unknown,31902.74,"Punjab, Haryana, Delhi, Rajasthan (Except Kota And Udaipur Divisions), West Uttar Pradesh (Except Jhansi Divisions) Jammu And Kathua Districts Of Jammu And Kashmir, Paonta Valley And Una District Of Himachal Pradesh, And Tarai Region Of Uttarakhand."
Wheat,Mpo(Jw)  1215 (Mpo 1215),Rajasthan,114.0,140.1,120,29876.36,"Madhya Pradesh, Chhattisgarh, Gujarat And Rajasthan (Kota And Udaipur Division Only) Under Timely Sown Irrigated Condition."
